slug,id,cuisine,stars,count,where,available,sold-out
high-tide,70590,American,5.0,25,Dumbo,120,0
pilot-ny,69720,Seafood,5.0,20,Brooklyn Heights,120,0
foxface-natural,71434,New American,5.0,16,East Village,0,0
fragile-flour,66716,Dessert,5.0,6,East Village,5,0
4-charles-prime-rib,834,Steakhouse,4.93,20744,West Village,0,19
don-angie,1505,Italian,4.86,20559,West Village,0,6
mollusca,59077,Seafood,4.85,4584,Meatpacking,25,0
sixty-three-clinton,52711,New American,4.86,2194,Lower East Side,7,9
torrisi,64593,Italian,4.85,1655,Nolita,1,24
nakaji,10163,Sushi,4.87,1457,Chinatown,11,0
the-sunken-harbor-club,58305,Cocktail Bar,4.88,1075,Downtown Brooklyn,1,14
sushi-ikumi,40735,Sushi,4.87,772,Soho,11,1
kono,58459,Japanese,4.87,763,Chinatown,2,9
rosella,65348,Sushi,4.94,731,East Village,17,3
hibino-brooklyn,58533,Japanese,4.85,708,Brooklyn,9,0
shinzo-omakase,65230,Japanese,4.88,689,East Village,28,0
ito,54504,Sushi,4.89,647,Tribeca,0,15
taikun-sushi,50244,Sushi,4.90,520,Lower East Side,14,7
stafili-wine-cafe,54637,Wine,4.87,409,West Village,30,0
kappo-sono,58600,Japanese,4.94,319,New York,0,0
accidental-bar,27607,Local,4.86,300,East Village,18,0
hags,59000,Experimental,4.86,278,East Village,44,8
sushi-lin-soho,67398,Sushi,4.91,187,Soho,25,0
blue-haven-west-village,50804,American,4.87,177,Greenwich Village,5,9
esora-omakase,54582,Japanese,4.87,155,East Village,0,0
dellas,60351,Italian American,4.87,144,Tribeca,158,0
arthurs-tavern,65181,Drinks and Snacks,4.85,108,New York,29,1
seppe-pizza-bar,64872,Pizza,4.94,70,Staten Island,60,1
mister-paradise,51561,Cocktail Bar,4.85,63,East Village,0,43
noma-events,57543,Danish,4.88,44,Copenhagen,0,2
ma-de-nyc,65129,Seafood,4.85,34,Nolita,5,0
marc-forgione,70599,New American,4.87,32,New York,20,1
morgensterns-finest-ice-cream,53170,American,4.86,29,Greenwich Village,0,0
han-dynasty-east-village,68862,Szechuan,4.85,28,East Village,6,1
beyond-meat-and-gregorys-brooklyn,46980,Breakfast,4.94,17,Brooklyn,0,0
pearl-street-supper-club,69635,Modern,4.92,13,Dumbo,35,0
mr-fongs,41775,Cocktail Bar,4.88,9,Chinatown,0,0
pastis,6484,French,4.77,36617,Meatpacking District,28,0
loring-place,679,American,4.75,30012,Greenwich Village,31,0
rubirosa,466,Italian,4.84,25991,NoLita,2,6
carbone,6194,Italian,4.75,18929,Greenwich Village,0,31
i-sodi,443,Italian,4.80,15246,West Village,0,14
lartusi-ny,25973,Italian,4.78,11886,West Village,13,2
raoulsrestaurant,7241,French,4.83,10087,Soho,30,1
sushi-nakazawa,5589,Sushi,4.77,8456,West Village,13,2
minetta-tavern,9846,French,4.78,7529,Greenwich Village,31,0
raku-soho,2026,Japanese,4.82,5754,SoHo,12,0
cervos,1385,Seafood,4.79,5594,Lower East Side,15,15
joseph-leonard,394,American,4.81,5066,West Village,15,0
jeffreys-grocery,395,Seafood,4.76,4961,West Village,15,0
dirt-candy,29371,Vegetarian,4.82,4569,Lower East Side,3,18
hanoi-house,4272,Vietnamese,4.79,4476,East Village,25,0
colonie,1999,American,4.83,4271,Brooklyn Heights,30,0
fairfax,1689,American,4.75,3919,West Village,15,0
the-dead-rabbit,38660,Irish,4.81,3840,Financial District,31,1
dear-irving-gramercy,5273,Cocktail Bar,4.76,3465,Gramercy,9,5
dame-new-york,34341,Seafood,4.81,3426,Greenwich Village,11,8
popina-nyc,1340,Italian,4.82,3190,Cobble Hill,12,0
